year,page_url,doc_url,filename,doc_type
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10b.xlsx,stat10b.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bb.pdf,stat10bb.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bb.xlsx,stat10bb.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bbb.pdf,stat10bbb.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bbb.xlsx,stat10bbb.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat11.pdf,stat11.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat11.xlsx,stat11.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat12.pdf,stat12.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat12.xlsx,stat12.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat13.pdf,stat13.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat13.xlsx,stat13.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat14.pdf,stat14.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat14.xlsx,stat14.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat15.pdf,stat15.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat15.xlsx,stat15.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat15a.pdf,stat15a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat16.pdf,stat16.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat16.xlsx,stat16.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat17.pdf,stat17.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat17.xlsx,stat17.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat18.pdf,stat18.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat18.xlsx,stat18.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat19.pdf,stat19.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat20.pdf,stat20.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat20.xlsx,stat20.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat21.pdf,stat21.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat21.xlsx,stat21.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat22.pdf,stat22.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat22.xlsx,stat22.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat23.pdf,stat23.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat23.xlsx,stat23.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat24.pdf,stat24.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat24.xlsx,stat24.xlsx,demands_for_grants
